City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,volovets,48.7109,23.1851,1.53,79,0,1.49,UA,1731270366
280,peace river,56.2501,-117.286,0.17,74,40,1.54,CA,1731270182
281,kamwenge,0.1866,30.4539,16.74,97,100,0.42,UG,1731270368
282,batesburg-leesville,33.9101,-81.5373,16.42,87,100,1.89,US,1731270370
283,gevrai,19.2667,75.75,20.71,56,0,1.76,IN,1731270371
284,nungua,5.6011,-0.0771,27.23,83,0,1.03,GH,1731270372
285,cabo san lucas,22.8909,-109.9124,27.64,60,20,2.06,MX,1731270373
286,saint-philippe,-21.3585,55.7679,24.35,88,43,5.22,RE,1731270375
287,glendive,47.1053,-104.7125,12.79,54,0,8.75,US,1731270376
288,port lincoln,-34.7333,135.8667,15.38,89,66,5.41,AU,1731270171
289,zyrya,40.3661,50.2917,11.05,82,32,3.01,AZ,1731270378
290,winchester center,41.9001,-73.1348,11.66,52,100,1.34,US,1731270379
291,lesosibirsk,58.2358,92.4828,-1.62,94,100,4.58,RU,1731270380
292,al burayqah,30.4062,19.5739,20.97,55,100,5.32,LY,1731270381
293,sestri levante,44.2732,9.3968,14.9,66,8,1.79,IT,1731270383
294,baukau,51.5526,7.2042,9.88,93,99,1.09,DE,1731270384
295,praia da vitoria,38.7333,-27.0667,19.14,88,40,5.84,PT,1731270385
296,kavieng,-2.5744,150.7967,28.02,77,97,6.96,PG,1731270386
297,pisco,-13.7,-76.2167,23.03,60,0,5.66,PE,1731270387
298,moringen,51.7,9.8667,8.46,98,100,0.19,DE,1731270388
299,zhangatas,43.5667,69.75,4.26,73,0,11.72,KZ,1731270189
300,kamba,11.8486,3.6576,25.86,25,93,3.52,NG,1731270390
301,tionk essil,12.7856,-16.5217,28.0,35,1,2.49,SN,1731270391
302,lerwick,60.1545,-1.1494,9.62,76,99,7.96,GB,1731270392
303,sisimiut,66.9395,-53.6735,-6.32,82,100,4.48,GL,1731270394
304,cadillac,44.2519,-85.4012,8.95,100,100,4.63,US,1731270309
305,fortuna foothills,32.6578,-114.4119,26.23,12,0,3.09,US,1731270396
306,ugoofaaru,5.6667,73.0,28.14,70,9,2.84,MV,1731270397
307,laguna,38.421,-121.4238,21.12,36,0,0.0,US,1731270398
308,brokopondo,4.75,-55.1667,33.04,53,49,4.96,SR,1731270399
309,aykhal,66.0,111.5,-15.22,97,100,2.98,RU,1731270401
310,hinton,53.4001,-117.5857,3.12,73,100,1.01,CA,1731270250
311,eyl,7.9803,49.8164,26.83,76,100,8.28,SO,1731270403
312,ulsteinvik,62.3432,5.8487,6.07,72,99,2.99,NO,1731270404
313,klyuchi,52.2667,79.1667,0.14,92,100,7.92,RU,1731270405
314,port saint john's,-31.6229,29.5448,18.14,92,100,0.41,ZA,1731270406
315,pijino del carmen,9.3291,-74.453,26.88,77,100,2.88,CO,1731270407
316,la ronge,55.1001,-105.2842,5.14,65,20,4.12,CA,1731270409
317,mahina,-17.5065,-149.489,27.87,78,100,4.63,PF,1731270410
318,malpica,43.3228,-8.8105,16.87,99,99,1.55,ES,1731270412
319,coari,-4.085,-63.1414,29.45,68,81,2.98,BR,1731270413
320,makueni boma,-1.8041,37.6203,20.3,77,100,1.88,KE,1731270414
321,port blair,11.6667,92.75,28.02,83,40,1.03,IN,1731270235
322,urumqi,43.801,87.6005,0.53,80,0,2.0,CN,1731270416
323,dryden,49.7833,-92.7503,7.16,100,100,2.06,CA,1731270211
324,nha trang,12.25,109.1833,24.0,92,73,2.12,VN,1731270418
325,rajin,42.2489,130.3003,6.27,45,0,4.56,KP,1731270419
326,san julian,21.0167,-102.1667,26.76,27,6,2.34,MX,1731270333
327,colares,38.7992,-9.4469,19.07,81,12,9.12,PT,1731270421
328,ulladulla,-35.35,150.4667,16.66,72,100,0.91,AU,1731270423
329,bubaque,11.2833,-15.8333,29.73,59,0,2.65,GW,1731270424
330,basyayla,36.7534,32.6802,6.27,93,100,0.73,TR,1731270426
331,najran,17.4924,44.1277,17.25,37,0,0.75,SA,1731270427
332,ciudad lazaro cardenas,17.9583,-102.2,29.52,68,68,4.04,MX,1731270428
333,villa angela,-27.5738,-60.7153,34.81,30,4,3.4,AR,1731270429
334,villablino,42.9393,-6.3194,9.8,99,100,2.36,ES,1731270430
335,xining,36.6167,101.7667,4.98,67,85,1.79,CN,1731270431
336,pangody,65.85,74.4859,-10.1,93,100,10.02,RU,1731270432
337,saint-joseph,-21.3667,55.6167,24.21,86,31,4.66,RE,1731270433
338,emerald,-23.5333,148.1667,22.41,84,74,5.11,AU,1731270434
339,malmo,55.6059,13.0007,6.93,85,100,3.5,SE,1731270435
340,uliastay,47.7417,96.8444,-10.67,70,59,3.3,MN,1731270436
341,umm as sahik,26.6536,49.9164,23.1,64,9,3.26,SA,1731270437
342,nova vicosa,-17.8919,-39.3719,24.62,80,92,6.44,BR,1731270439
343,umm kaddadah,13.6017,26.6876,26.68,18,75,6.27,SD,1731270440
344,shalqar,47.8333,59.6,2.47,80,100,6.58,KZ,1731270441
345,delijan,33.9905,50.6838,13.23,35,6,0.38,IR,1731270442
346,taybad,34.74,60.7756,8.88,53,0,2.72,IR,1731270443
347,fuyang,32.9,115.8167,13.9,81,0,2.98,CN,1731270444
348,praia,14.9215,-23.5087,26.3,69,20,5.66,CV,1731270445
349,alotau,-10.3069,150.4462,24.46,95,100,1.42,PG,1731270446
350,nalut,30.3333,10.85,20.66,28,100,2.57,LY,1731270447
351,carnot,4.9409,15.8665,22.16,86,57,1.15,CF,1731270448
352,san antonio de pale,-1.4014,5.6325,26.11,83,86,3.22,GQ,1731270449
353,dajal,29.5577,70.3762,23.6,30,33,1.36,PK,1731270452
354,nyaunglebin,17.95,96.7333,21.47,97,13,2.52,MM,1731270453
355,ratnagiri,16.9833,73.3,24.54,60,5,2.85,IN,1731270454
356,mineiros,-17.5694,-52.5511,26.76,66,90,0.92,BR,1731270455
357,junin de los andes,-39.9504,-71.0694,9.57,64,55,10.79,AR,1731270456
358,emure-ekiti,7.4361,5.4593,23.84,72,88,0.73,NG,1731270457
359,leh,34.1667,77.5833,-1.01,50,37,1.84,IN,1731270458
360,jijiga,9.35,42.8,16.06,48,2,3.8,ET,1731270459
361,hawaiian paradise park,19.5933,-154.9731,26.73,81,75,2.57,US,1731270460
